crdc_id,year,ncessch,leaid,fips,disability,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances
370309001315,2017,370309001315,3703090,37,4,-1.000,-1.000,-1.000,-1.000
370048002431,2017,370048002431,3700480,37,1,0.000,1.000,-1.000,-1.000
370345001427,2017,370345001427,3703450,37,0,-1.000,42.000,-1.000,-1.000
370331000387,2017,370331000387,3703310,37,99,0.000,254.000,-1.000,-1.000
370006402399,2017,370006402399,3700064,37,4,-1.000,-1.000,-1.000,-1.000
370162000712,2017,370162000712,3701620,37,99,-2.000,291.000,-1.000,-1.000
370001102120,2017,370001102120,3700011,37,4,-1.000,-1.000,-1.000,-1.000
370345001434,2017,370345001434,3703450,37,2,-1.000,3.000,-1.000,-1.000
370060003391,2017,370060003391,3700600,37,4,-1.000,-1.000,-1.000,-1.000
370111002093,2017,370111002093,3701110,37,2,-1.000,0.000,-1.000,-1.000
370465001993,2017,370465001993,3704650,37,0,-1.000,55.000,-1.000,-1.000
370345002404,2017,370345002404,3703450,37,0,-1.000,38.000,-1.000,-1.000
370237002322,2017,370237002322,3702370,37,99,0.000,70.000,-1.000,-1.000
370060000246,2017,370060000246,3700600,37,99,-2.000,33.000,-1.000,-1.000
370243001039,2017,370243001039,3702430,37,2,-1.000,21.000,-1.000,-1.000
370405001630,2017,370405001630,3704050,37,4,-1.000,-1.000,-1.000,-1.000
370126002920,2017,370126002920,3701260,37,1,-2.000,14.000,-1.000,-1.000
370256001074,2017,370256001074,3702560,37,4,-1.000,-1.000,-1.000,-1.000
370297001221,2017,370297001221,3702970,37,99,-2.000,254.000,-1.000,-1.000
370488001953,2017,370488001953,3704880,37,2,-1.000,2.000,-1.000,-1.000
370297001601,2017,370297001601,3702970,37,2,-1.000,11.000,-1.000,-1.000
370030000081,2017,370030000081,3700300,37,0,-1.000,34.000,-1.000,-1.000
370504002912,2017,370504002912,3705040,37,4,-1.000,-1.000,-1.000,-1.000
370039000113,2017,370039000113,3700390,37,99,-2.000,54.000,-1.000,-1.000
370297001290,2017,370297001290,3702970,37,0,-1.000,14.000,-1.000,-1.000
370462001810,2017,370462001810,3704620,37,0,-1.000,14.000,-1.000,-1.000
370472002558,2017,370472002558,3704720,37,99,0.000,6.000,-1.000,-1.000
370126000528,2017,370126000528,3701260,37,4,-1.000,-1.000,-1.000,-1.000
370003102323,2017,370003102323,3700031,37,4,-1.000,-1.000,-1.000,-1.000
370472001826,2017,370472001826,3704720,37,99,0.000,19.000,-1.000,-1.000
370153000659,2017,370153000659,3701530,37,4,-1.000,-1.000,-1.000,-1.000
370075002815,2017,370075002815,3700750,37,0,-1.000,11.000,-1.000,-1.000
370405001611,2017,370405001611,3704050,37,0,-1.000,104.000,-1.000,-1.000
370432001716,2017,370432001716,3704320,37,4,-1.000,-1.000,-1.000,-1.000
370090002707,2017,370090002707,3700900,37,4,-1.000,-1.000,-1.000,-1.000
370030000089,2017,370030000089,3700300,37,1,0.000,5.000,-1.000,-1.000
370297002826,2017,370297002826,3702970,37,2,-1.000,0.000,-1.000,-1.000
370150002764,2017,370150002764,3701500,37,4,-1.000,-1.000,-1.000,-1.000
370297001200,2017,370297001200,3702970,37,1,-2.000,56.000,-1.000,-1.000
370001102132,2017,370001102132,3700011,37,0,-1.000,36.000,-1.000,-1.000
370027003436,2017,370027003436,3700270,37,0,-1.000,3.000,-1.000,-1.000
370039503367,2017,370039503367,3700395,37,4,-1.000,-1.000,-1.000,-1.000
370001100397,2017,370001100397,3700011,37,99,0.000,73.000,-1.000,-1.000
370090000338,2017,370090000338,3700900,37,99,0.000,6.000,-1.000,-1.000
370192002991,2017,370192002991,3701920,37,2,-1.000,3.000,-1.000,-1.000
370393002051,2017,370393002051,3703930,37,0,-1.000,57.000,-1.000,-1.000
370001100430,2017,370001100430,3700011,37,4,-1.000,-1.000,-1.000,-1.000
370120000493,2017,370120000493,3701200,37,99,0.000,191.000,-1.000,-1.000
370111000456,2017,370111000456,3701110,37,0,-1.000,8.000,-1.000,-1.000
370231002778,2017,370231002778,3702310,37,0,-1.000,1.000,-1.000,-1.000
370261000585,2017,370261000585,3702610,37,2,-1.000,1.000,-1.000,-1.000
370495002658,2017,370495002658,3704950,37,1,-2.000,6.000,-1.000,-1.000
370053002064,2017,370053002064,3700530,37,1,-2.000,61.000,-1.000,-1.000
370003000007,2017,370003000007,3700030,37,2,-1.000,0.000,-1.000,-1.000
370297003146,2017,370297003146,3702970,37,0,-1.000,172.000,-1.000,-1.000
370126000480,2017,370126000480,3701260,37,99,0.000,92.000,-1.000,-1.000
370472001899,2017,370472001899,3704720,37,2,-1.000,0.000,-1.000,-1.000
370300001292,2017,370300001292,3703000,37,1,-2.000,8.000,-1.000,-1.000
370504002018,2017,370504002018,3705040,37,2,-1.000,2.000,-1.000,-1.000
370393002240,2017,370393002240,3703930,37,0,-1.000,298.000,-1.000,-1.000
370162000695,2017,370162000695,3701620,37,1,0.000,54.000,-1.000,-1.000
370014502926,2017,370014502926,3700145,37,2,-1.000,4.000,-1.000,-1.000
370001103160,2017,370001103160,3700011,37,4,-1.000,-1.000,-1.000,-1.000
370048000193,2017,370048000193,3700480,37,99,0.000,11.000,-1.000,-1.000
370201000874,2017,370201000874,3702010,37,4,-1.000,-1.000,-1.000,-1.000
370040103400,2017,370040103400,3700401,37,99,-2.000,52.000,-1.000,-1.000
370297001216,2017,370297001216,3702970,37,2,-1.000,28.000,-1.000,-1.000
370126000554,2017,370126000554,3701260,37,99,0.000,4.000,-1.000,-1.000
370069000274,2017,370069000274,3700690,37,2,-1.000,4.000,-1.000,-1.000
370309001331,2017,370309001331,3703090,37,99,-2.000,32.000,-1.000,-1.000
370180003114,2017,370180003114,3701800,37,0,-1.000,58.000,-1.000,-1.000
370150002765,2017,370150002765,3701500,37,4,-1.000,-1.000,-1.000,-1.000
370504002013,2017,370504002013,3705040,37,2,-1.000,0.000,-1.000,-1.000
370126000568,2017,370126000568,3701260,37,99,-2.000,37.000,-1.000,-1.000
370108000449,2017,370108000449,3701080,37,0,-1.000,113.000,-1.000,-1.000
370488001951,2017,370488001951,3704880,37,99,-2.000,141.000,-1.000,-1.000
370472003410,2017,370472003410,3704720,37,4,-1.000,-1.000,-1.000,-1.000
370357001471,2017,370357001471,3703570,37,2,-1.000,0.000,-1.000,-1.000
370345001426,2017,370345001426,3703450,37,0,-1.000,65.000,-1.000,-1.000
370309002533,2017,370309002533,3703090,37,2,-1.000,3.000,-1.000,-1.000
370297001241,2017,370297001241,3702970,37,2,-1.000,0.000,-1.000,-1.000
370237002998,2017,370237002998,3702370,37,2,-1.000,0.000,-1.000,-1.000
370333002915,2017,370333002915,3703330,37,4,-1.000,-1.000,-1.000,-1.000
370472002887,2017,370472002887,3704720,37,99,0.000,43.000,-1.000,-1.000
370111000456,2017,370111000456,3701110,37,1,0.000,1.000,-1.000,-1.000
370261002831,2017,370261002831,3702610,37,0,-1.000,1.000,-1.000,-1.000
370075000313,2017,370075000313,3700750,37,2,-1.000,11.000,-1.000,-1.000
370027003435,2017,370027003435,3700270,37,0,-1.000,7.000,-1.000,-1.000
370331002177,2017,370331002177,3703310,37,2,-1.000,0.000,-1.000,-1.000
370093000353,2017,370093000353,3700930,37,99,-2.000,151.000,-1.000,-1.000
370256001080,2017,370256001080,3702560,37,0,-1.000,178.000,-1.000,-1.000
370231002299,2017,370231002299,3702310,37,1,-2.000,0.000,-1.000,-1.000
370472001677,2017,370472001677,3704720,37,1,0.000,16.000,-1.000,-1.000
370231002300,2017,370231002300,3702310,37,99,-2.000,48.000,-1.000,-1.000
370399001068,2017,370399001068,3703990,37,2,-1.000,0.000,-1.000,-1.000
370048002908,2017,370048002908,3700480,37,0,-1.000,0.000,-1.000,-1.000
370300002531,2017,370300002531,3703000,37,1,-2.000,8.000,-1.000,-1.000
370399001242,2017,370399001242,3703990,37,0,-1.000,15.000,-1.000,-1.000
370072000296,2017,370072000296,3700720,37,2,-1.000,0.000,-1.000,-1.000
370237001016,2017,370237001016,3702370,37,0,-1.000,25.000,-1.000,-1.000
370001100410,2017,370001100410,3700011,37,4,-1.000,-1.000,-1.000,-1.000
370063000251,2017,370063000251,3700630,37,0,-1.000,4.000,-1.000,-1.000
370256003036,2017,370256003036,3702560,37,1,-2.000,40.000,-1.000,-1.000
370001101833,2017,370001101833,3700011,37,0,-1.000,26.000,-1.000,-1.000
370472001887,2017,370472001887,3704720,37,0,-1.000,4.000,-1.000,-1.000
370297002640,2017,370297002640,3702970,37,99,0.000,41.000,-1.000,-1.000
370441001754,2017,370441001754,3704410,37,1,-2.000,33.000,-1.000,-1.000
370297001212,2017,370297001212,3702970,37,0,-1.000,101.000,-1.000,-1.000
370150000637,2017,370150000637,3701500,37,2,-1.000,0.000,-1.000,-1.000
370001100438,2017,370001100438,3700011,37,1,0.000,3.000,-1.000,-1.000
370192000761,2017,370192000761,3701920,37,2,-1.000,0.000,-1.000,-1.000
370261000586,2017,370261000586,3702610,37,2,-1.000,0.000,-1.000,-1.000
370192000768,2017,370192000768,3701920,37,0,-1.000,253.000,-1.000,-1.000
370462001790,2017,370462001790,3704620,37,2,-1.000,19.000,-1.000,-1.000
370204002159,2017,370204002159,3702040,37,2,-1.000,0.000,-1.000,-1.000
370331003127,2017,370331003127,3703310,37,4,-1.000,-1.000,-1.000,-1.000
370063001044,2017,370063001044,3700630,37,1,0.000,16.000,-1.000,-1.000
370297001264,2017,370297001264,3702970,37,99,-2.000,159.000,-1.000,-1.000
370210000918,2017,370210000918,3702100,37,99,-2.000,7.000,-1.000,-1.000
370003502340,2017,370003502340,3700035,37,2,-1.000,0.000,-1.000,-1.000
370126003250,2017,370126003250,3701260,37,99,-2.000,96.000,-1.000,-1.000
